index	Dialogue_ID	Emotion	EndTime	Episode	Season	Sentiment	Speaker	SrNo	StartTime	Utterance	Utterance_ID	idx	elapse
dia0_utt0	0	neutral	00:16:21,731	21	8	neutral	Chandler	1	00:16:16,059	also I was the point person on my company’s transition from the KL-5 to GR-6 system.	0	0_0	5.672000000000001
dia0_utt1	0	neutral	00:16:23,442	21	8	neutral	The Interviewer	2	00:16:21,940	You must’ve had your hands full.	1	0_1	1.502
dia0_utt2	0	neutral	00:16:26,389	21	8	neutral	Chandler	3	00:16:23,442	That I did. That I did.	2	0_2	2.947
dia0_utt3	0	neutral	00:16:29,572	21	8	neutral	The Interviewer	4	00:16:26,820	So let’s talk a little bit about your duties.	3	0_3	2.7520000000000002
dia0_utt4	0	surprise	00:16:40,917	21	8	positive	Chandler	5	00:16:34,452	My duties?  All right.	4	0_4	6.465000000000001
dia0_utt5	0	neutral	00:16:44,337	21	8	neutral	The Interviewer	6	00:16:41,126	Now you’ll be heading a whole division, so you’ll have a lot of duties.	5	0_5	3.2110000000000003
dia0_utt6	0	neutral	00:16:51,886	21	8	neutral	Chandler	7	00:16:48,800	I see.	6	0_6	3.0860000000000003
dia0_utt7	0	neutral	00:16:54,514	21	8	neutral	The Interviewer	8	00:16:48,800	But there’ll be perhaps 30 people under you so you can dump a certain amount on them.	7	0_7	5.714
dia0_utt8	0	neutral	00:17:00,478	21	8	neutral	Chandler	9	00:16:59,477	Good to know.	8	0_8	1.0010000000000001
dia0_utt9	0	neutral	00:17:02,719	21	8	neutral	The Interviewer	10	00:17:00,478	We can go into detail	9	0_9	2.241
dia0_utt10	0	fear	00:17:04,858	21	8	negative	Chandler	11	00:17:02,856	No don’t I beg of you!	10	0_10	2.0020000000000002
dia0_utt11	0	neutral	00:17:13,324	21	8	neutral	The Interviewer	12	00:17:05,025	All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.	11	0_11	8.299000000000001
dia0_utt12	0	surprise	00:17:16,536	21	8	positive	Chandler	13	00:17:13,491	Really?!	12	0_12	3.0450000000000004
