vid	start	stop	label	cid	text
-3g5yACwYnA	82.753	100.555	1.0	10	Key is part of the people that we use to solve those issues, whether it's stretch or outdoor resistance or abrasions or different technical aspects that we really need to solve to get into new markets, they've been able to bring solutions.
-3g5yACwYnA	119.919	125.299	0.6666666865348816	13	They've been able to find solutions or at least bring some answers to the table.
-3g5yACwYnA	13.211	27.521	0.0	3	We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.
-3g5yACwYnA	4.84	14.052	0.0	2	Key Polymer brings a technical aspect to our operation that we don't have internally.
-3g5yACwYnA	26.541	41.3	1.0	4	Key brings those types of aspects to a business on new markets, new potentials, and even on our equipment of how things run and operate with a pretty big, long experience with their team.
-3g5yACwYnA	74.083	82.776	0.6666666865348816	9	We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.
-3nNcZdcdvU	0.0	9.213	0.3333333432674408	0	Introduction Speaker: Dr. Erma Jean Sims, Sonoma State University My name is Dr. Erma Jean Sims I'm a member of the faculty of the School of Education at Sonoma State University.
-3nNcZdcdvU	12.014	20.098	1.0	2	It's important for teachers to understand their legal, ethical, and professional obligations in an educational setting.
-3nNcZdcdvU	36.399	44.173	0.0	5	Noncompliance can result in legal liability to you and to the school district in which you are employed.
-HwX2H8Z4hY	2.146	11.318	-0.6666666865348816	1	A 1983 report, “A Nation at Risk,” argued that America itself was “being eroded by a rising tide of mediocrity
-HwX2H8Z4hY	0.0	2.348	0.0	0	the state of American education
-HwX2H8Z4hY	13.92	20.118	0.3333333432674408	3	Federal spending on education soared eightfold in the past twenty years, rising much faster than inflation
-HwX2H8Z4hY	10.318	14.211	0.0	2	"” [President Ronald Reagan:] ""Look at the record"
-HwX2H8Z4hY	27.08	32.61	-1.0	5	""" President Ronald Reagan blamed the professional bureaucracy of education"
-HwX2H8Z4hY	19.866	26.214	-2.0	4	But during the same period, Scholastic Aptitude Test results went down, down and down
-HwX2H8Z4hY	35.441	42.806	0.6666666865348816	7	For decades as a teacher and activist, he had complained about the burden of bureaucratic interference
-HwX2H8Z4hY	32.108	35.353	0.0	6	And in part, Al Shanker did too
-HwX2H8Z4hY	49.299	56.934	-0.3333333432674408	9	It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing
-HwX2H8Z4hY	43.093	49.551	-1.6666666269302368	8	"""Now, that word 'professional' is becoming more and more of a dirty word for teachers"
-NFrJFQijFE	3.374	9.023	0.3333333432674408	1	Structural mounts inside have to be properly stress analyzed so we make sure all that happens
-NFrJFQijFE	44.111	54.769	0.3333333432674408	8	We're using state-of-the-art instruments, cutting edge instruments, to measure things like water vapor, clouds, temperature and a whole bunch of trace gases
-NFrJFQijFE	8.023	14.72	0.0	2	So we coordinate with all the proper technical fields to get ready for the instrument to arrive here
-NFrJFQijFE	-0.478	4.104	0.0	0	so all that has to go through aerodynamic analysis etc
-THoVjtIkeU	122.393	127.215	2.3333332538604736	11	I am absolutely optimistic, I think that there is no other way to be.
-THoVjtIkeU	112.625	122.934	-0.3333333432674408	10	And they knock and if you don’t open the door and you wait till they bang and you don’t open the door, eventually it will get so frustrating that they will knock that door down.
-THoVjtIkeU	126.604	141.392	2.0	12	What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.
-THoVjtIkeU	12.693	23.071	1.6666666269302368	1	Ultimately no matter who you are or where you are, you have an equal opportunity to participate and be an active citizen in your own society and also in the world.
-THoVjtIkeU	0.0	13.463	1.6666666269302368	0	To me specifically, social justice means that there isn’t really a separation between people based on their age, based on their religion their beliefs, their country of origin, things like that.
-THoVjtIkeU	23.308	27.531	1.3333333730697632	2	I think social justice is extremely important for young people.
-THoVjtIkeU	84.27	92.244	2.6666667461395264	6	You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.
-THoVjtIkeU	97.62	106.831	1.0	8	We can start resolving some of these problems if we are not only listening but then also reacting because young people don’t just explode over night.
-UuX1xuaiiE	3.084	13.333	1.6666666269302368	1	^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here
-UuX1xuaiiE	0.0	3.566	2.6666667461395264	0	^it's amazing to see their enthusiasm and their passion
-UuX1xuaiiE	19.437	23.47	0.3333333432674408	3	My goal is to become a human rights lawyer
-UuX1xuaiiE	12.463	20.437	1.6666666269302368	2	^- The work that I'm doing at the Human Right Center ^is that I am annotating a memoir about ^_ and genocide
-UuX1xuaiiE	27.639	30.794	1.0	5	In fact, it's sort of how I got my job
-UuX1xuaiiE	22.47	28.639	2.0	4	- The experience with the center was really informative of what I ended up doing after I graduated
-UuX1xuaiiE	37.686	43.794	-1.3333333730697632	7	That included doing early warning of potential ^human rights violations and war crimes around the world
-UuX1xuaiiE	30.253	38.187	-0.3333333432674408	6	I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues
-UuX1xuaiiE	51.125	57.693	0.6666666865348816	9	Having at least an awareness and sensitivity to human rights issues is critical in today's world
