vid_cid,label,VAD,text,vid,por,score_label,meld_label
Ses01F_impro01_F000,neu,"[2.5000, 2.5000, 2.5000]",Excuse me. Yeah. Is there a problem?,Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F001,neu,"[2.5000, 2.5000, 2.5000]",Excuse me. Yeah. Is there a problem? Well what's the problem?  Let me change it.,Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F002,neu,"[2.5000, 2.5000, 2.5000]",Excuse me. Yeah. Is there a problem? Well what's the problem?  Let me change it. What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F005,neu,"[2.5000, 2.5000, 2.5000]",Yeah. Is there a problem? Well what's the problem?  Let me change it. What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen. How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F006,fru,"[2.5000, 2.5000, 2.5000]",Is there a problem? Well what's the problem?  Let me change it. What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen. How am I supposed to get an ID without an ID?  How does a person get an ID in the first place? I'm here to get an ID.,Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F007,fru,"[2.5000, 2.5000, 2.5000]",Well what's the problem?  Let me change it. What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen. How am I supposed to get an ID without an ID?  How does a person get an ID in the first place? I'm here to get an ID. Like what?  Like a birth certificate?,Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F008,fru,"[2.5000, 2.5000, 2.5000]","What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen. How am I supposed to get an ID without an ID?  How does a person get an ID in the first place? I'm here to get an ID. Like what?  Like a birth certificate? Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F009,fru,"[2.5000, 2.5000, 2.5000]","How am I supposed to get an ID without an ID?  How does a person get an ID in the first place? I'm here to get an ID. Like what?  Like a birth certificate? Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here? That's out of control.",Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F011,fru,"[2.5000, 2.5000, 2.5000]","I'm here to get an ID. Like what?  Like a birth certificate? Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here? That's out of control. How long have you been working here?",Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F012,ang,"[2.5000, 2.5000, 2.5000]","Like what?  Like a birth certificate? Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here? That's out of control. How long have you been working here? Clearly.  You know, do you have like a supervisor or something?",Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F013,fru,"[2.5000, 2.5000, 2.5000]","Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here? That's out of control. How long have you been working here? Clearly.  You know, do you have like a supervisor or something? That would - I would appreciate that.  Yeah.",Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F014,neu,"[2.5000, 2.5000, 2.5000]","That's out of control. How long have you been working here? Clearly.  You know, do you have like a supervisor or something? That would - I would appreciate that.  Yeah.",Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_F015,fru,"[2.5000, 2.5000, 2.5000]","How long have you been working here? Clearly.  You know, do you have like a supervisor or something? That would - I would appreciate that.  Yeah.",Ses01F_impro01,neutral,0.0,neutral
Ses01F_impro01_M000,fru,"[2.5000, 2.0000, 2.5000]",Do you have your forms? Let me see them. Who told you to get in this line?,Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro01_M001,fru,"[2.5000, 2.0000, 2.5000]",Do you have your forms? Let me see them. Who told you to get in this line? Okay. But I didn't tell you to get in this line if you are filling out this particular form.,Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro01_M002,fru,"[2.5000, 2.0000, 2.5000]",Do you have your forms? Let me see them. Who told you to get in this line? Okay. But I didn't tell you to get in this line if you are filling out this particular form. This form is a Z.X.four.,Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro01_M003,fru,"[2.5000, 2.0000, 2.5000]","Let me see them. Who told you to get in this line? Okay. But I didn't tell you to get in this line if you are filling out this particular form. This form is a Z.X.four. You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro01_M004,fru,"[2.5000, 2.0000, 2.5000]","Who told you to get in this line? Okay. But I didn't tell you to get in this line if you are filling out this particular form. This form is a Z.X.four. You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID. No. I need another set of ID to prove this is actually you.",Ses01F_impro01,negative,-0.6666666865348816,anger
Ses01F_impro01_M005,fru,"[2.5000, 2.0000, 2.5000]","Okay. But I didn't tell you to get in this line if you are filling out this particular form. This form is a Z.X.four. You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID. No. I need another set of ID to prove this is actually you. I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.",Ses01F_impro01,negative,-0.6666666865348816,anger
