start_stop,vid_cid,label,VAD,text,vid,i,path
[6.2901 - 8.2357],Ses01F_impro01_F000,neu,"[2.5000, 2.5000, 2.5000]",Excuse me.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav
[10.0100 - 11.3925],Ses01F_impro01_F001,neu,"[2.5000, 2.5000, 2.5000]",Yeah.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav
[14.8872 - 18.0175],Ses01F_impro01_F002,neu,"[2.5000, 2.5000, 2.5000]",Is there a problem?,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav
[27.4600 - 31.4900],Ses01F_impro01_F005,neu,"[2.5000, 3.5000, 2.0000]",Well what's the problem?  Let me change it.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav
[38.9650 - 43.5900],Ses01F_impro01_F006,fru,"[2.0000, 3.5000, 3.5000]",What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F006.wav
[46.5800 - 52.1900],Ses01F_impro01_F007,fru,"[2.5000, 3.5000, 3.5000]",How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F007.wav
[56.1600 - 58.8225],Ses01F_impro01_F008,fru,"[2.0000, 3.5000, 3.5000]",I'm here to get an ID.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F008.wav
[61.8700 - 65.9700],Ses01F_impro01_F009,fru,"[2.0000, 3.5000, 3.0000]",Like what?  Like a birth certificate?,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F009.wav
[72.4500 - 82.2600],Ses01F_impro01_F011,fru,"[2.0000, 3.5000, 3.5000]","Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F011.wav
[85.2700 - 88.0200],Ses01F_impro01_F012,ang,"[2.0000, 3.5000, 3.5000]",That's out of control.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav
[93.6700 - 97.0218],Ses01F_impro01_F013,fru,"[2.0000, 4.0000, 3.5000]",How long have you been working here?,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F013.wav
[97.8900 - 102.9600],Ses01F_impro01_F014,neu,"[2.5000, 3.5000, 3.5000]","Clearly.  You know, do you have like a supervisor or something?",Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav
[103.9700 - 106.7100],Ses01F_impro01_F015,fru,"[2.0000, 3.5000, 3.0000]",That would - I would appreciate that.  Yeah.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F015.wav
[7.5712 - 10.4750],Ses01F_impro01_M000,fru,"[2.5000, 2.0000, 2.5000]",Do you have your forms?,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M000.wav
[10.9266 - 14.6649],Ses01F_impro01_M001,fru,"[2.5000, 2.0000, 2.5000]",Let me see them.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M001.wav
[16.8352 - 19.7175],Ses01F_impro01_M002,fru,"[2.0000, 3.5000, 3.5000]",Who told you to get in this line?,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M002.wav
[23.4700 - 28.0300],Ses01F_impro01_M003,fru,"[2.5000, 3.5000, 3.5000]",Okay. But I didn't tell you to get in this line if you are filling out this particular form.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M003.wav
[28.3950 - 31.2117],Ses01F_impro01_M004,fru,"[2.0000, 4.0000, 3.5000]",This form is a Z.X.four.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M004.wav
[31.2660 - 39.3875],Ses01F_impro01_M005,fru,"[2.0000, 3.5000, 3.5000]","You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M005.wav
[41.2300 - 46.9800],Ses01F_impro01_M006,fru,"[2.0000, 3.5000, 3.5000]",No. I need another set of ID to prove this is actually you.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M006.wav
[51.4000 - 57.6400],Ses01F_impro01_M007,fru,"[2.5000, 3.5000, 3.0000]",I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M007.wav
[58.1800 - 62.5900],Ses01F_impro01_M008,fru,"[2.0000, 3.5000, 3.5000]","No.  I need another ID, a separate one.",Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M008.wav
[65.5100 - 73.0000],Ses01F_impro01_M009,fru,"[2.5000, 3.5000, 4.0000]","A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M009.wav
[81.5900 - 86.0300],Ses01F_impro01_M010,fru,"[2.0000, 4.5000, 4.0000]","Yeah.  We keep it on file, but we need an ID to access that file.",Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M010.wav
[87.1500 - 94.3900],Ses01F_impro01_M011,ang,"[2.0000, 4.0000, 4.0000]",I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,Ses01F_impro01,1,/home/admin/workspace/data/multimodal-sentiment-analysis/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_M011.wav
