video_id,clip_id,text,gen_label,annotation,mode,label_by
03bSnISJMiM,11,A LOT OF SAD PARTS,neural,Neutral,train,0
03bSnISJMiM,10,THERE IS SAD PART,sadness,Negative,train,0
03bSnISJMiM,13,AND ITS A REALLY FUNNY,joy,Positive,train,0
03bSnISJMiM,12,BUT IT WAS REALLY REALLY AWESOME,joy,Positive,train,0
03bSnISJMiM,1,ANYHOW IT WAS REALLY GOOD,surprise,Positive,train,0
03bSnISJMiM,3,I MEAN THEY DID A LITTLE BIT OF IT,sadness,Negative,train,0
03bSnISJMiM,2,THAY DID THEY DIDNT REALLY DO A WHOLE BUNCH OF BACKGROUND INFO ON WHY SHE HAS TO FIGHT AND BE PREPARED,anger,Negative,train,0
03bSnISJMiM,5,AND THEY SHOULDVE I GUESS,neural,Neutral,train,0
03bSnISJMiM,4,BUT NOT A WHOLE BUNCH,sadness,Negative,train,0
03bSnISJMiM,7,AND XXX BUT BESIDES THAT IT WAS ALL OVER PRETTY GOOD,joy,Positive,train,0
03bSnISJMiM,6,THEY SHOULDVE LIVE UP WITH MORE,neural,Neutral,train,0
03bSnISJMiM,9,OH MY GOD A LOT OF ACTION,joy,Positive,train,0
03bSnISJMiM,8,AND THERE IS LIKE SOMEONE WHILE SOMEONE THERE WAS A LOT OF ACTION,neural,Neutral,train,0
0h-zjBukYpk,24,I MEAN THAT WAS IMPRESSIVE,joy,Positive,train,0
0h-zjBukYpk,25,I LIKED THAT SCENE WHERE HE HAD A SWORDS IN THERE AND THERES BUNCH OF PEOPLE THAT ARE GONNA SHOOT HIM BOOM BOOM BOOM BOOM TAKE HIM DOWN TAKE HIM DOWN BAM BAM BAM BAM BAM TAKE THAT WITH MY MAGICAL SWORDS,joy,Positive,train,0
0h-zjBukYpk,20,OK BUT THE TWO BIG CHARACTER APPEARANCES IN THIS MOVIE ARE EASILY DEADPOOL AND GAMBIT,joy,Positive,train,0
0h-zjBukYpk,21,ACTUALLY I LIKED HIM A LOT,joy,Positive,train,0
0h-zjBukYpk,22,AND I THOUGHT HE MADE A GOOD ACTOR FOR THE DEAD POOR CHARACTER,joy,Positive,train,0
0h-zjBukYpk,23,NOW HES SEEN AT THE BEGINNING THAT REALLY SOLD ME,joy,Positive,train,0
0h-zjBukYpk,1,NOW THE TITLE OF THE MOVIE BASICALLY SAYS IT ALL,anger,Negative,train,0
0h-zjBukYpk,3,MY REASON IM A COMIC BOOK FAN,anger,Negative,train,0
0h-zjBukYpk,2,NOW IM NOT EVEN GONNA SUGAR COAT THIS THIS MOVIE FRUSTRATED ME TO SUCH AN EXTREME EXTENT THAT I WAS LOUDLY EXCLAIMING WHY AT THE END OF THE FILM,sadness,Negative,train,0
0h-zjBukYpk,5,THAT HUH BEFORE WE GO ON WITH THAT I MUST SAY THAT THIS HAD A SURPRISINGLY DECENT CAST,joy,Positive,train,0
0h-zjBukYpk,4,THAT LIKE TO SEE COMIC BOOK CHARACTERS TREATED RESPONSIBLY,fear,Negative,train,0
0h-zjBukYpk,7,NOW HUGH JACKMAN WAS ALWAYS THE BEST CHOICE TO PLAY WOLVERINE I WILL ADMIT THAT,joy,Positive,train,0
0h-zjBukYpk,6,STRANGE SINCE ONE OF MY BIGGEST GRAPES WITH THE XMAN SERIES WAS AND ALWAYS IS THE XXX,anger,Negative,train,0
0h-zjBukYpk,9,YOU KNOW NOTHING GREAT,disgust,Negative,train,0
0h-zjBukYpk,8,AND IN MY OPINION HE CARRIED THE MOVIE FINE,joy,Positive,train,0
0h-zjBukYpk,11,HES A STAR OF THE MOVIE,joy,Positive,train,0
0h-zjBukYpk,10,BUT YOU KNOW HE DID IT,anger,Negative,train,0
0h-zjBukYpk,13,HE CARRIED IT,joy,Positive,train,0
0h-zjBukYpk,12,NOTHING SPECIAL,anger,Negative,train,0
0h-zjBukYpk,15,BUT ITS PRETTY SELFEXPLANATORY,neural,Neutral,train,0
0h-zjBukYpk,14,WHICH IS A SMART MOVE SINCE YOU KNOW YOU HAVE TO BE REAL COMIC BOOK FAN TO GET WHAT HES NAME IS SUPPOSED TO BE,joy,Positive,train,0
0h-zjBukYpk,17,AND HE ALMOST LOOKS EXACTLY THE SAME AS THIS CHARACTER IN DEFIANCE,joy,Positive,train,0
0h-zjBukYpk,16,UM I ACTUALLY THINK THAT LIEV SCHREIBER IS A GOOD ACTOR,joy,Positive,train,0
0h-zjBukYpk,19,NOW OTHER PERFORMANCES ARE BORDERLINE,sadness,Negative,train,0
0h-zjBukYpk,18,I MEAN IT WAS LIKE HE WAS TOO LAZY TO TAKE OFF THE COSTUME OR SOMETHING,anger,Negative,train,0
1DmNV9C1hbY,11,BUT FOR ME I WAS JUST A LITTLE BORED,anger,Negative,train,0
1DmNV9C1hbY,10,KIDS ARE GONNA LOVE THE FILM,joy,Positive,train,0
1DmNV9C1hbY,13,BUT OTHERWISE I DONT KNOW,fear,Negative,train,0
1DmNV9C1hbY,12,SURE THERE WERE CUTE MONEY PARTS IN THE MIXTING OF THE FILM,joy,Positive,train,0
1DmNV9C1hbY,14,I DIDNT EVEN CARE FOR IT,anger,Negative,train,0
1DmNV9C1hbY,1,BUT FOR THIS ONE I JUST DIDNT FEEL LIKE IT,anger,Negative,train,0
1DmNV9C1hbY,3,BECAUSE IT HAD A REAL NOSTALGIC FEEL TO IT,joy,Positive,train,0
1DmNV9C1hbY,2,UM I LOVED THE VERY FIRST ALVIN AND THE CHIPMUNKS MOVIE,joy,Positive,train,0
1DmNV9C1hbY,5,BUT YOU KNOW FOR THIS ONE I JUST DIDNT CARE,anger,Negative,train,0
1DmNV9C1hbY,4,IT REMINDED ME OF GETTING UP ON A SATURDAY MORNING AND EATING FRUIT LOOPS AND UM WATCHING CARTOONS,joy,Positive,train,0
1DmNV9C1hbY,7,AND UM WHILE THE TRAILER MADE THE FILM LOOK REAL NICE AND CUTE,sadness,Negative,train,0
1DmNV9C1hbY,6,UM I SAW NO REASON WHY THEY NEEDED TO BRING BACK THE VILLAIN FROM THE FIRST ONE,anger,Negative,train,0
1DmNV9C1hbY,9,UM IM SURE KIDS ARE GONNA LOVE IT,joy,Positive,train,0
1DmNV9C1hbY,8,IT WAS JUST FLAT,anger,Negative,train,0
1iG0909rllw,24,AND YOU KNEW YOU SHOULDNT BE LAUGHING,anger,Negative,train,0
1iG0909rllw,25,MY FAVORITE SCENE WOULD DEFINATELY BE THE VOLTURI,joy,Positive,train,0
1iG0909rllw,26,UM THEN MY WINS ON SCREEN WISKERS I MEAN THEY WERE REALLY WORN IN A LOTS WHICH IS A SHAME BECAUSE I THOUGHT XXX REALLY RATHER GOOD,sadness,Negative,train,0
1iG0909rllw,27,AND UM MICHAEL SHEEN AS ARO AS WELL HE WAS RATHER ENJOYABLE TO WATCH,joy,Positive,train,0
1iG0909rllw,20,AND THE SCRIPT IT LEFT ALL THE KEY PLOTS AND EMOTION FROM THE CHARACTERS TO BE EXPOSED THROUGH DIALOGUE,joy,Positive,train,0
1iG0909rllw,21,I THINK IT WAS EMPIRE MAGAZINES REVIEW OF NEW MOON THAT SAID THAT KRISTEN RELIED HEAVILY ON THE TACTIC OF TACTIC OF BLINKING A LOT WHICH SHE REALLY DOES DO A LOT,anger,Negative,train,0
1iG0909rllw,22,BUT AT THE SAME GOES FOR ROB PATTINSON AS EDWARD AND TAYLOR LAUTNER AS JACOB THEY DO A LOT OF FROWNING IM A MANLY MAN AND I FROWN,sadness,Negative,train,0
1iG0909rllw,23,FOR THE MOMENT IN THIS THE WHOLE CINEMA WAS LAUGHTING,joy,Positive,train,0
1iG0909rllw,28,AND I THINK THE VOLTURI THAT WAS MY EXCITING BIT OF THE ENTIRE FILM,joy,Positive,train,0
1iG0909rllw,29,THE REST OF THE FILM WAS JUST WATCHING KRISTEN JUST MOB AROUND,sadness,Negative,train,0
1iG0909rllw,1,AND I THOUGHT THEY WERE AVERAGE,disgust,Negative,train,0
1iG0909rllw,3,I THOUGHT TWILIGHT DIRECTED BY CATHERINE HARDWICKE WAS ACTUALLY REALLY RATHER ENJOYABLE,joy,Positive,train,0
1iG0909rllw,2,LETS FACE IT THEY ARE REALLY NOT MASTER PIECES,sadness,Negative,train,0
1iG0909rllw,5,BUT CINEMATICLY I THOUGHT IT WAS GOOD QUITE GOOD,joy,Positive,train,0
1iG0909rllw,4,UM I MEAN OBVIOUSLY IT HAD ITS FLAWS,sadness,Negative,train,0
1iG0909rllw,7,I WASNT THINKING ON HEARING THAT CHRIS WEITZ WAS GONNA START THE NEW MOON BECAUSE OF THE DESTRUCTION THAT WAS PHILLIP PULLMAN THE GOLDEN COMPASS,sadness,Negative,train,0
1iG0909rllw,6,IT WASIT WAS ENJOYABLE,joy,Positive,train,0
1iG0909rllw,9,AND I I DIDINT REALLY KNOW WHAT TO EXPECT FROM NEW MOON UM IN TERMS OF HIS DIRECTION,anger,Negative,train,0
1iG0909rllw,8,I THOUGHT THAT FILM WAS AWFUL,sadness,Negative,train,0
1iG0909rllw,11,THE THING IS ITS A VERY GOOD TRANSLATION OF THE BOOK,surprise,Positive,train,0
1iG0909rllw,10,OVERALL NEW MOON WAS IT WAS OK JUST AVERAGE,joy,Positive,train,0
1iG0909rllw,13,AND I REALLY APPRECIATE THAT LOYALTY,joy,Positive,train,0
1iG0909rllw,12,ITS VERY VERY LOYAL TO THE BOOK,joy,Positive,train,0
1iG0909rllw,15,AND THE BOOK IS NOT NECESSARILY THE MOST THRILLING BOOK EVER,anger,Negative,train,0
1iG0909rllw,14,UM HOWEVER IT IS THIS LOYALTY TO THE ORIGINAL SOURCE THAT GIVES IT ITS FLAWS,sadness,Negative,train,0
1iG0909rllw,17,IT WASNT REALLY THE BEST THE MOST THRILLING READ EVER ILL SAY THAT,surprise,Negative,train,0
1iG0909rllw,16,I MEAN THE ENTIRE XXX IS BELLA SWAN KRISTEN KRISTENS STEWARDS CHARACTER MOBBING AROUND COMPLETELY DEPRESSED,sadness,Negative,train,0
1iG0909rllw,19,THE ANGSTY TOO ANGSTY MOMENTS WITHDRAWN OUT TO THE MAX AS FAR AS THAY CAN GO,anger,Negative,train,0
1iG0909rllw,18,SO OVERALLNEW MOON EVEN WITH THE BIGGER BETTER BUDGETS HUH IT WAS STILL TOO LONG,anger,Negative,train,0
1iG0909rllw,30,AND THAT WAS REALLY BORING,anger,Negative,train,0
2WGyTLYerpo,56,LIKE A MOVIE CALLED COWBOYS AND ALIENS A LOT OF PEOPLE WOULD THINK WOULD BE KIND OF LIKE CRAZY,anger,Negative,train,0
2WGyTLYerpo,54,I JUST THOUGHT IT WAS KIND OF STUPID,disgust,Negative,train,0
2WGyTLYerpo,42,SO YOU CAN CARE ABOUT HIM,neural,Neutral,train,0
2WGyTLYerpo,48,THERE ARE SOME FLAWS HERE,anger,Negative,train,0
2WGyTLYerpo,43,AND ALSOUM OLIVIA WILD SHES PRETTY GOOD,surprise,Positive,train,0
2WGyTLYerpo,60,AND IM GONNA GIVE IT AN EIGHT OUT OF TEN,joy,Positive,train,0
2WGyTLYerpo,61,IT WAS REALLY FUN,joy,Positive,train,0
2WGyTLYerpo,62,A VERY GOOD TIME,joy,Positive,train,0
2WGyTLYerpo,63,AND I DEFINATELY RECOMMEND YOU CHECK IT OUT IN THEATERS,surprise,Positive,train,0
2WGyTLYerpo,49,AND THERE BUT THEYRE NOT HUGE GLARING FLAWS,sadness,Negative,train,0
2WGyTLYerpo,52,BUT I WAS KIND OF EXPECTING THAT,neural,Neutral,train,0
2WGyTLYerpo,53,I WASNT A HUGE FAN OF IT,anger,Negative,train,0
2WGyTLYerpo,24,AND ALSO I LIKE HOW ITS KIND OF UPFRONT TO SHOW THEM TO US INSTEAD OF HIDING THEM LIKE SHOWING A LITTLE LIKE AN ARM ON SCENE OR SOMETHING NO THEY JUST STRAIGHT UP SHOW IT TO US,joy,Positive,train,0
2WGyTLYerpo,25,AND I REALLY ENJOYED THAT,joy,Positive,train,0
2WGyTLYerpo,26,I IT WAS REALLY COOL WHEN THEY DID THAT,joy,Positive,train,0
2WGyTLYerpo,27,COZ THE ALIENS WERE REALLY COOL LOOKING,joy,Positive,train,0
2WGyTLYerpo,20,THEY ARE HUGE,joy,Positive,train,0
2WGyTLYerpo,21,THEYRE REALLY STRONG,joy,Positive,train,0
2WGyTLYerpo,22,AND THEYRE KIND OF SCARY LOOKING,fear,Negative,train,0
2WGyTLYerpo,23,I DIDNT EXPECT THAT,neural,Neutral,train,0
2WGyTLYerpo,46,SHES ACTUALLY PRETTY GOOD,surprise,Positive,train,0
2WGyTLYerpo,47,SHES IN EVERYTHING NOWADAYS,neural,Neutral,train,0
2WGyTLYerpo,44,SHES BEAUTIFUL,surprise,Positive,train,0
2WGyTLYerpo,45,AND SHES NOT A BAD ACTOR,surprise,Positive,train,0
2WGyTLYerpo,28,DANIEL CRAIG DOES A VERY GOOD JOB HERE,joy,Positive,train,0
2WGyTLYerpo,29,HE KIND OF CHANNELS THE MAN WITH NO NAME CLINT EASTWOOD,surprise,Positive,train,0
2WGyTLYerpo,40,BUT HE BECOMES MORE LIKEABLE,joy,Positive,train,0
2WGyTLYerpo,41,HIS GUTS DEVELOPED MORE AS MORE LIKEABLE CHARACTER,joy,Positive,train,0
2WGyTLYerpo,1,MUCH SAY THAT I REALLY ENJOYED COWBOYS AND ALIENS,joy,Positive,train,0
2WGyTLYerpo,3,YOU GUYS DONT KNOW WHAT YOURE GONNA GO AND SEE WHEN YOU GO WALK INTO THE MOVIE CALLED COWBOYS AND ALIENS,neural,Neutral,train,0
2WGyTLYerpo,2,THERE WAS A LOT OF FUN,joy,Positive,train,0
2WGyTLYerpo,5,THE ONLY OSCAR THAT I CAN EVEN THING OF IS MAYBE LIKE BEST CINEMATOGRAPHY,neural,Neutral,train,0
