id	start	stop	cid	vid	text	label	elapse
03bSnISJMiM_11	95.05646259	97.2015873	11	03bSnISJMiM	A LOT OF SAD PARTS	-0.5	2.1451247100000046
03bSnISJMiM_10	93.54988662	95.05646259	10	03bSnISJMiM	THERE IS SAD PART	-1.2	1.50657597
03bSnISJMiM_13	168.8387755	170.485034	13	03bSnISJMiM	AND ITS A REALLY FUNNY	1.8	1.646258500000016
03bSnISJMiM_12	97.2015873	99.89546485	12	03bSnISJMiM	BUT IT WAS REALLY REALLY AWESOME	2.2	2.6938775499999963
03bSnISJMiM_1	52.73265306	56.04512472	1	03bSnISJMiM	ANYHOW IT WAS REALLY GOOD	2.4	3.31247166
03bSnISJMiM_3	66.87052154	68.84603175	3	03bSnISJMiM	I MEAN THEY DID A LITTLE BIT OF IT	-1.0	1.975510209999996
03bSnISJMiM_2	56.51405896	66.87052154	2	03bSnISJMiM	THAY DID THEY DIDNT REALLY DO A WHOLE BUNCH OF BACKGROUND INFO ON WHY SHE HAS TO FIGHT AND BE PREPARED	-0.8	10.356462579999999
03bSnISJMiM_5	71.07097506	71.8292517	5	03bSnISJMiM	AND THEY SHOULDVE I GUESS	0.0	0.7582766400000054
03bSnISJMiM_4	68.84603175	71.07097506	4	03bSnISJMiM	BUT NOT A WHOLE BUNCH	-1.75	2.2249433100000005
03bSnISJMiM_7	73.71496599	78.6138322	7	03bSnISJMiM	AND XXX BUT BESIDES THAT IT WAS ALL OVER PRETTY GOOD	0.8	4.898866210000008
03bSnISJMiM_6	71.8292517	73.71496599	6	03bSnISJMiM	THEY SHOULDVE LIVE UP WITH MORE	0.0	1.8857142899999957
03bSnISJMiM_9	89.80839002	93.54988662	9	03bSnISJMiM	OH MY GOD A LOT OF ACTION	0.2	3.7414965999999907
03bSnISJMiM_8	78.6138322	89.80839002	8	03bSnISJMiM	AND THERE IS LIKE SOMEONE WHILE SOMEONE THERE WAS A LOT OF ACTION	0.0	11.19455782
0h-zjBukYpk_24	166.6537415	167.9507937	24	0h-zjBukYpk	I MEAN THAT WAS IMPRESSIVE	2.6	1.297052199999996
0h-zjBukYpk_25	167.9507937	179.993424	25	0h-zjBukYpk	I LIKED THAT SCENE WHERE HE HAD A SWORDS IN THERE AND THERES BUNCH OF PEOPLE THAT ARE GONNA SHOOT HIM BOOM BOOM BOOM BOOM TAKE HIM DOWN TAKE HIM DOWN BAM BAM BAM BAM BAM TAKE THAT WITH MY MAGICAL SWORDS	2.2	12.042630300000013
0h-zjBukYpk_20	141.2614512	147.6968254	20	0h-zjBukYpk	OK BUT THE TWO BIG CHARACTER APPEARANCES IN THIS MOVIE ARE EASILY DEADPOOL AND GAMBIT	0.6	6.435374199999984
0h-zjBukYpk_21	159.4501134	160.5376417	21	0h-zjBukYpk	ACTUALLY I LIKED HIM A LOT	2.0	1.0875283000000024
0h-zjBukYpk_22	160.5376417	163.6206349	22	0h-zjBukYpk	AND I THOUGHT HE MADE A GOOD ACTOR FOR THE DEAD POOR CHARACTER	1.8	3.082993200000004
0h-zjBukYpk_23	163.6206349	166.6537415	23	0h-zjBukYpk	NOW HES SEEN AT THE BEGINNING THAT REALLY SOLD ME	2.6	3.0331065999999964
0h-zjBukYpk_1	35.32222222	37.72675737	1	0h-zjBukYpk	NOW THE TITLE OF THE MOVIE BASICALLY SAYS IT ALL	-0.4	2.404535150000001
0h-zjBukYpk_3	57.19251701	59.91632653	3	0h-zjBukYpk	MY REASON IM A COMIC BOOK FAN	-0.2	2.723809519999996
0h-zjBukYpk_2	44.95034014	57.19251701	2	0h-zjBukYpk	NOW IM NOT EVEN GONNA SUGAR COAT THIS THIS MOVIE FRUSTRATED ME TO SUCH AN EXTREME EXTENT THAT I WAS LOUDLY EXCLAIMING WHY AT THE END OF THE FILM	-2.8	12.242176870000002
0h-zjBukYpk_5	65.56349206	75.23151927	5	0h-zjBukYpk	THAT HUH BEFORE WE GO ON WITH THAT I MUST SAY THAT THIS HAD A SURPRISINGLY DECENT CAST	0.8	9.668027210000005
0h-zjBukYpk_4	59.91632653	65.56349206	4	0h-zjBukYpk	THAT LIKE TO SEE COMIC BOOK CHARACTERS TREATED RESPONSIBLY	-1.4	5.647165530000002
0h-zjBukYpk_7	83.45283447	87.92267574	7	0h-zjBukYpk	NOW HUGH JACKMAN WAS ALWAYS THE BEST CHOICE TO PLAY WOLVERINE I WILL ADMIT THAT	1.8	4.469841270000003
0h-zjBukYpk_6	75.23151927	83.70226757	6	0h-zjBukYpk	STRANGE SINCE ONE OF MY BIGGEST GRAPES WITH THE XMAN SERIES WAS AND ALWAYS IS THE XXX	-1.4	8.470748299999997
0h-zjBukYpk_9	91.54444444	93.71950113	9	0h-zjBukYpk	YOU KNOW NOTHING GREAT	-1.0	2.175056689999991
0h-zjBukYpk_8	87.92267574	91.54444444	8	0h-zjBukYpk	AND IN MY OPINION HE CARRIED THE MOVIE FINE	0.8	3.621768700000004
0h-zjBukYpk_11	96.33356009	98.16938776	11	0h-zjBukYpk	HES A STAR OF THE MOVIE	0.4	1.8358276700000005
0h-zjBukYpk_10	93.71950113	96.33356009	10	0h-zjBukYpk	BUT YOU KNOW HE DID IT	-0.6	2.6140589600000084
0h-zjBukYpk_13	99.09727891	100.6337868	13	0h-zjBukYpk	HE CARRIED IT	1.25	1.5365078899999958
0h-zjBukYpk_12	98.16938776	99.09727891	12	0h-zjBukYpk	NOTHING SPECIAL	-0.8	0.9278911499999936
0h-zjBukYpk_15	121.2070295	122.6038549	15	0h-zjBukYpk	BUT ITS PRETTY SELFEXPLANATORY	0.0	1.3968253999999973
0h-zjBukYpk_14	113.7240363	121.2070295	14	0h-zjBukYpk	WHICH IS A SMART MOVE SINCE YOU KNOW YOU HAVE TO BE REAL COMIC BOOK FAN TO GET WHAT HES NAME IS SUPPOSED TO BE	1.4	7.48299320000001
0h-zjBukYpk_17	127.1535147	132.2120181	17	0h-zjBukYpk	AND HE ALMOST LOOKS EXACTLY THE SAME AS THIS CHARACTER IN DEFIANCE	0.2	5.058503399999992
0h-zjBukYpk_16	123.4219955	127.1535147	16	0h-zjBukYpk	UM I ACTUALLY THINK THAT LIEV SCHREIBER IS A GOOD ACTOR	0.6	3.731519200000008
0h-zjBukYpk_19	137.9589569	141.2614512	19	0h-zjBukYpk	NOW OTHER PERFORMANCES ARE BORDERLINE	-0.4	3.3024943000000064
0h-zjBukYpk_18	132.2120181	137.9589569	18	0h-zjBukYpk	I MEAN IT WAS LIKE HE WAS TOO LAZY TO TAKE OFF THE COSTUME OR SOMETHING	-2.0	5.7469388000000095
1DmNV9C1hbY_11	57.16258503	60.03605442	11	1DmNV9C1hbY	BUT FOR ME I WAS JUST A LITTLE BORED	-1.8	2.873469389999997
1DmNV9C1hbY_10	48.25283447	49.49002268	10	1DmNV9C1hbY	KIDS ARE GONNA LOVE THE FILM	2.6	1.2371882099999993
1DmNV9C1hbY_13	63.23877551	65.40385488	13	1DmNV9C1hbY	BUT OTHERWISE I DONT KNOW	-1.25	2.1650793699999937
1DmNV9C1hbY_12	60.03605442	63.23877551	12	1DmNV9C1hbY	SURE THERE WERE CUTE MONEY PARTS IN THE MIXTING OF THE FILM	0.4	3.2027210900000043
